Afreeca Freecs	Bang	42	16	26	38.1%	3.62	2.26	3.57	3.18	297.12	8.86	13.9	414	13.7k	410.2	59.3%	29.9%	23.7%	10	Kai'Sa, Samira, Xayah
Afreeca Freecs	Dread	42	16	26	38.1%	3.6	2.45	5.26	3.61	221.21	6.6	12	358	12.2k	364.2	73.1%	29.7%	20.5%	11	Olaf, Lillia, Graves
Afreeca Freecs	Fly	42	16	26	38.1%	2.19	2.9	5.6	2.68	273.43	8.16	12.5	372	14.3k	425.2	64.2%	18.1%	21.3%	14	Syndra, Viktor, Orianna
Afreeca Freecs	Kiin	42	16	26	38.1%	2.02	2.95	5.07	2.4	268.74	8.02	12.5	374	16.4k	488.6	58.5%	16.7%	21.4%	16	Gnar, Renekton, Gragas
Afreeca Freecs	Lehends	41	16	25	39%	0.71	3.17	7.22	2.5	43.07	1.29	7.7	230	5.3k	157.2	66.3%	5.9%	13.2%	11	Alistar, Rell, Nautilus
Afreeca Freecs	MapSSi	1	0	1	0%	0	5	12	2.4	56	1.46	8.2	215	11.5k	301.4	63.2%	0%	12.5%	1	Galio
DRX	BAO	47	21	26	44.7%	3.81	2.21	3.23	3.18	314.49	9.33	14.2	422	15k	444.4	63.9%	34.6%	23.9%	10	Kai'Sa, Xayah, Aphelios
DRX	Kingen	47	21	26	44.7%	1.94	2.57	5.32	2.82	260.85	7.74	12.8	378	15.7k	466.4	65.8%	17.6%	21.4%	16	Gnar, Jayce, Volibear
DRX	Becca	47	21	26	44.7%	0.74	3.19	6.66	2.32	41.4	1.23	7.6	226	4.4k	130.3	67.2%	6.8%	12.8%	12	Alistar, Thresh, Rell
DRX	Pyosik	47	21	26	44.7%	2.83	2.6	5.06	3.04	243.85	7.24	12.4	369	13.7k	405.8	71.6%	25.7%	20.9%	10	Nidalee, Lillia, Kindred
DRX	SOLKA	47	21	26	44.7%	1.7	2.17	5.74	3.43	288.79	8.57	12.5	370	16.1k	478.2	67.6%	15.4%	20.9%	8	Syndra, Orianna, Viktor
DWG KIA	BeryL	43	33	10	76.7%	1.16	3.49	9.02	2.92	55.56	1.67	8.5	254	7.1k	212.8	67.7%	7.7%	13.5%	13	Gragas, Alistar, Rell
DWG KIA	Canyon	43	33	10	76.7%	3.65	2.23	6.72	4.65	236.72	7.1	12.7	382	14k	420.3	68.9%	24.3%	20.4%	9	Nidalee, Graves, Hecarim
DWG KIA	Ghost	43	33	10	76.7%	4.74	1.74	5.23	5.72	297.51	8.93	14.8	444	16.1k	484.5	66.3%	31.5%	23.7%	9	Kai'Sa, Xayah, Senna
DWG KIA	Khan	43	33	10	76.7%	1.95	2.26	7.14	4.03	249	7.47	12.5	374	16.5k	495.5	60.4%	13%	19.9%	14	Sion, Gnar, Ornn
DWG KIA	ShowMaker	43	33	10	76.7%	3.53	1.58	6.67	6.46	301.67	9.05	14.1	423	18.4k	551.9	67.9%	23.5%	22.5%	12	Syndra, Zoe, Viktor
Fredit BRION	Delight	39	12	27	30.8%	0.56	2.87	6.59	2.49	36.92	1.13	7.2	219	4k	122	77.3%	6.1%	13%	9	Alistar, Rell, Rakan
Fredit BRION	Hoya	39	12	27	30.8%	1.41	2.56	4	2.11	240.56	7.34	11	335	11.4k	347.3	58.4%	15.2%	19.9%	10	Gnar, Gragas, Sion
Fredit BRION	Hena	39	12	27	30.8%	3.33	2.05	3.79	3.48	331.41	10.11	14.1	429	13.3k	406.3	77%	36%	25.4%	8	Kai'Sa, Tristana, Aphelios
Fredit BRION	UmTi	38	12	26	31.6%	2.05	2.34	5.08	3.04	208.24	6.38	10.7	329	10.2k	312	77%	22.2%	19.5%	10	Lillia, Olaf, Udyr
Fredit BRION	Lava	28	8	20	28.6%	1.64	2.11	5.07	3.19	295.57	8.81	12.6	377	15k	448.6	75.2%	18.4%	22.3%	12	Orianna, Zoe, Syndra
Fredit BRION	Yaharong	9	4	5	44.4%	2.89	1.89	5.89	4.65	274.22	8.52	12.2	380	14.9k	462.3	73.1%	24.1%	21.9%	6	Orianna, Azir, Syndra
Fredit BRION	Chieftain	3	0	3	0%	1.33	4	2.33	0.92	212.67	7.26	9.5	326	9.3k	318	91.7%	33.3%	21.4%	3	Taliyah, Syndra, Graves
Gen.G	Life	44	29	15	65.9%	0.59	2.36	6.86	3.15	36.27	1.12	7.5	231	4.2k	130.4	60%	4.8%	12.5%	11	Sett, Alistar, Rell
Gen.G	Rascal	44	29	15	65.9%	2.57	2.41	4.8	3.06	281.2	8.71	13.2	409	12.8k	395.4	59.2%	20.7%	22.2%	13	Camille, Renekton, Cho'Gath
Gen.G	Ruler	44	29	15	65.9%	3.59	1.61	4	4.7	334.34	10.35	14.7	456	14.6k	452.2	61.1%	28.9%	24.7%	11	Kai'Sa, Aphelios, Xayah
Gen.G	Bdd	41	28	13	68.3%	2.95	1.56	5.2	5.22	294.93	9.15	13.1	406	16.4k	510.2	63.6%	23%	21.9%	5	Syndra, Azir, Orianna
Gen.G	Clid	39	26	13	66.7%	2.95	1.95	5.67	4.42	196.79	6.15	11.3	353	9.6k	301.6	68.9%	23.6%	19%	7	Nidalee, Udyr, Olaf
Gen.G	Flawless	5	3	2	60%	2.4	1.6	4.6	4.38	188	5.41	10.9	314	9.3k	266.9	59.3%	20.3%	17.7%	4	Olaf, Lillia, Udyr
Gen.G	Karis	3	1	2	33.3%	0.67	2	2.67	1.67	288.33	8.66	11.8	356	9.3k	278	45.5%	9.1%	20.2%	2	Orianna, Azir
Hanwha Life Esports	Chovy	44	26	18	59.1%	3.57	1.8	6.05	5.35	320.27	10.04	14.3	448	19.1k	597.5	68.9%	25.6%	24.5%	19	Azir, Viktor, Twisted Fate
Hanwha Life Esports	Deft	44	26	18	59.1%	4.14	2.41	4.95	3.77	284.14	8.91	13.7	428	18.3k	574.9	65.1%	29.6%	23.4%	15	Kai'Sa, Senna, Tristana
Hanwha Life Esports	Vsta	44	26	18	59.1%	0.8	3.09	8.39	2.97	40.93	1.28	7.6	237	5.7k	177.4	65.8%	5.7%	13%	17	Rell, Thresh, Alistar
Hanwha Life Esports	Morgan	36	25	11	69.4%	2.14	2.08	6.5	4.15	243.53	7.57	11.8	368	13.6k	422.4	58.3%	14.4%	19.9%	14	Sion, Renekton, Gragas
Hanwha Life Esports	Arthur	27	14	13	51.9%	3.41	2.78	6.41	3.53	184.48	5.81	10.9	342	10k	314.2	66.4%	23.1%	18.6%	8	Olaf, Pantheon, Lillia
Hanwha Life Esports	yoHan	17	12	5	70.6%	2.88	2.59	5.12	3.09	207.71	6.48	11.1	348	11.1k	344.9	63.3%	22.8%	19.1%	7	Nidalee, Udyr, Hecarim
Hanwha Life Esports	DuDu	8	1	7	12.5%	2.75	2.5	2.88	2.25	256.88	8.38	11.9	387	15.2k	496.8	55.6%	27.2%	22.6%	6	Renekton, Camille, Gangplank
KT Rolster	Doran	45	18	27	40%	1.91	2.67	4.78	2.51	290.51	8.46	13.2	384	16.7k	486.9	60.2%	17.2%	21.9%	15	Gnar, Aatrox, Gragas
KT Rolster	Zzus	45	18	27	40%	0.44	3.22	6.89	2.28	40.8	1.19	7.6	221	3.4k	99.4	66%	4%	12.6%	6	Alistar, Rell, Thresh
KT Rolster	HyBriD	35	14	21	40%	4.06	2.31	3.17	3.12	335.97	9.56	15	428	13.7k	389.3	61.4%	34.5%	24.2%	7	Samira, Kai'Sa, Jinx
KT Rolster	Ucal	28	10	18	35.7%	2.86	2.46	5.04	3.2	326.79	9.35	14.1	404	19.3k	551.4	64.8%	23.5%	23%	8	Viktor, Orianna, Azir
KT Rolster	GIDEON	22	7	15	31.8%	2.09	2.27	3.77	2.58	216.05	6.43	11.1	330	8.2k	243.7	68.6%	24.5%	19.4%	8	Nidalee, Lillia, Graves
KT Rolster	Blank	17	9	8	52.9%	2.59	2.41	6.88	3.93	208.24	5.8	11.8	330	10k	278.5	63.4%	17.3%	18%	7	Lillia, Hecarim, Taliyah
KT Rolster	Dove	17	8	9	47.1%	2.06	1.71	3.53	3.28	305.35	9.16	13	391	14.7k	442.1	59.7%	22%	22.3%	9	Azir, Syndra, Zoe
KT Rolster	Noah	10	4	6	40%	3.3	2.2	3	2.86	253	8.03	12.7	402	13.4k	425.8	71.6%	37.5%	23.5%	5	Tristana, Samira, Senna
KT Rolster	Bonnie	6	2	4	33.3%	2.33	2.83	3.17	1.94	193.17	5.9	10.8	331	8.3k	252.5	56.9%	24.1%	19.1%	5	Pantheon, Nidalee, Udyr
Liiv SANDBOX	Effort	40	15	25	37.5%	0.68	3.65	6.75	2.03	36.95	1.13	7.2	220	3.9k	119.8	61.9%	5.6%	12.5%	8	Alistar, Nautilus, Gragas
Liiv SANDBOX	FATE	40	15	25	37.5%	3.05	1.78	5.8	4.99	301.77	9.24	13.3	409	17.3k	528.8	73.8%	25.4%	23.1%	9	Orianna, Azir, Syndra
Liiv SANDBOX	Summit	40	15	25	37.5%	2.6	3.28	4.95	2.31	272.3	8.34	12.7	390	16.1k	493.4	62.9%	21.7%	22.1%	12	Gnar, Camille, Aatrox
Liiv SANDBOX	Croco	36	15	21	41.7%	2.22	2.69	6.36	3.19	186.53	5.75	10.7	330	9.3k	287	70.9%	18.3%	18.6%	8	Udyr, Olaf, Graves
Liiv SANDBOX	Prince	20	9	11	45%	4.1	2.25	3.35	3.31	310.15	9.59	13.9	429	15.5k	478.9	61.3%	33.7%	24%	5	Kai'Sa, Ezreal, Samira
Liiv SANDBOX	Route	11	3	8	27.3%	2.91	2.36	3.91	2.88	295.36	8.98	13.1	399	11.1k	338.3	60.5%	25.8%	23%	4	Kai'Sa, Samira, Jhin
Liiv SANDBOX	Leo	9	3	6	33.3%	2.89	2.67	3.44	2.38	295.56	8.95	13.5	409	11.4k	345.3	50.4%	23%	23.2%	5	Kai'Sa, Samira, Xayah
Liiv SANDBOX	OnFleek	4	0	4	0%	1.75	3.25	4.5	1.92	219.25	6.38	11.5	334	8.2k	239.7	56.8%	15.9%	19.5%	3	Udyr, Graves, Hecarim
Nongshim RedForce	Bay	42	18	24	42.9%	1.57	2.5	5.57	2.86	265.86	8.25	11.7	363	13.5k	418.6	63%	13.9%	21%	9	Syndra, Azir, Orianna
Nongshim RedForce	deokdam	42	18	24	42.9%	4.36	2.12	3.36	3.64	303.1	9.41	14	436	14.8k	459.8	68.1%	38.4%	25.1%	8	Kai'Sa, Samira, Tristana
Nongshim RedForce	Kellin	42	18	24	42.9%	0.57	3.1	7.36	2.56	35.02	1.09	7.2	223	4.8k	148.8	70%	5%	12.9%	6	Rell, Alistar, Leona
Nongshim RedForce	Peanut	42	18	24	42.9%	2.83	2.38	5.31	3.42	224.83	6.98	11.7	362	12.3k	383.1	71.8%	25%	20.9%	8	Nidalee, Graves, Lillia
Nongshim RedForce	Rich	42	18	24	42.9%	2	3.02	4.81	2.25	230.45	7.16	11.2	349	15.5k	482.7	60.1%	17.6%	20.1%	11	Gragas, Aatrox, Sion
T1	Keria	44	27	17	61.4%	0.98	2.7	8.61	3.55	50.43	1.54	8	246	5.8k	178.8	69%	7%	13.4%	15	Thresh, Nautilus, Rell
T1	Canna	25	15	10	60%	2.8	2.84	5.92	3.07	271.76	8.15	13.2	396	14.4k	431.5	59.6%	19.1%	21.5%	10	Gnar, Renekton, Gragas
T1	Teddy	23	17	6	73.9%	5.09	1.96	6.35	5.84	296.17	8.87	15.2	454	19.4k	582.1	70.5%	31.4%	24.3%	8	Kai'Sa, Senna, Xayah
T1	Faker	23	15	8	65.2%	3.04	1.74	6.83	5.68	257.52	8.11	12.3	386	14.9k	469	68.8%	21.2%	21.1%	7	Azir, Zoe, Seraphine
T1	Ellim	22	12	10	54.5%	2.09	1.64	6.23	5.08	192.36	5.9	10.8	330	8.1k	247.3	67.5%	17%	18.2%	7	Olaf, Lillia, Pantheon
T1	Clozer	21	12	9	57.1%	2.71	2.33	5.81	3.65	308.76	9.14	13.8	407	16.1k	475.5	63.5%	20.2%	22.2%	9	Zoe, Syndra, Lucian
T1	Gumayusi	21	10	11	47.6%	4.48	1.9	3.62	4.25	330.86	10.34	14.7	458	12.9k	404.4	71.1%	39.3%	25.6%	6	Kai'Sa, Aphelios, Samira
T1	Zeus	19	12	7	63.2%	2.21	2.47	5.47	3.11	243.63	7.64	11.8	371	13.1k	409.9	59.3%	17.1%	20.4%	7	Renekton, Camille, Gnar
T1	Cuzz	13	10	3	76.9%	3.31	1.77	8.69	6.78	205.08	6.14	12	360	12.7k	379.4	69%	19%	19.2%	8	Hecarim, Udyr, Nidalee
T1	Oner	9	5	4	55.6%	3.33	2.67	6.22	3.58	221.44	6.93	12	376	12.3k	383.6	74.8%	26.1%	20.7%	3	Lillia, Graves, Nidalee
